,price,year,condition,odometer,title_status,transmission,type,split
1386,13998,2016,excellent,24870.0,clean,automatic,sedan,0.6495430319246018
1387,12998,2009,excellent,100929.0,clean,automatic,truck,-0.6315525201568085
1389,32998,2019,excellent,18562.0,clean,automatic,truck,0.26174419686293543
1390,13998,2016,excellent,24365.0,clean,automatic,sedan,2.308734392110748
1391,16598,2016,excellent,28024.0,clean,automatic,SUV,0.00119976180125405
1393,12998,2017,excellent,57078.0,clean,automatic,sedan,-0.24899389376092754
1394,33900,2015,like new,72000.0,clean,automatic,pickup,0.3467410971346142
1395,24998,2016,excellent,34900.0,clean,automatic,SUV,-0.9980401690836405
1397,7998,2010,excellent,117369.0,clean,automatic,SUV,0.4995485700352575
1402,13998,2016,excellent,24849.0,clean,automatic,sedan,0.44519866670679625
1403,4950,2004,good,118876.0,clean,automatic,SUV,0.5921399414924767
1404,20998,2014,excellent,83313.0,clean,automatic,truck,1.0458348604707008
1405,10998,2013,excellent,84894.0,clean,automatic,van,0.7568878355222781
1406,12998,2014,excellent,96035.0,clean,automatic,truck,0.9589289411944971
1407,18998,2012,excellent,79284.0,clean,automatic,truck,-1.8756582011219907
1411,10950,2013,good,97368.0,clean,automatic,van,0.16706795608919883
1413,15998,2014,excellent,83736.0,clean,automatic,SUV,0.1372262777614583
1415,39998,2014,excellent,60283.0,clean,automatic,truck,1.9005951357521031
1416,21998,2016,excellent,27549.0,clean,automatic,sedan,-1.3440394566027614
1417,20998,2015,excellent,52822.0,clean,automatic,SUV,-0.18599745700153306
1418,19998,2011,excellent,88901.0,clean,automatic,truck,-0.43746843688021386
1420,16998,2016,excellent,47081.0,clean,automatic,SUV,0.8436457956184729
1421,14998,2019,excellent,5.0,clean,automatic,sedan,-1.860927407077664
1427,14998,2019,excellent,5.0,clean,automatic,sedan,0.5248439826083681
1428,33995,2017,like new,31171.0,clean,automatic,SUV,-0.5365257513205133
1430,21998,2016,excellent,27549.0,clean,automatic,sedan,-0.497856014645849
1431,18598,2018,excellent,35314.0,clean,automatic,van,0.6880979509157317
1432,15998,2016,excellent,47081.0,clean,automatic,SUV,0.06922045918718892
1433,31998,2019,excellent,12390.0,clean,automatic,truck,-1.322895376824903
1434,26998,2016,excellent,42258.0,clean,automatic,SUV,-0.8758867834719463
1436,18998,2013,excellent,117350.0,clean,automatic,truck,0.04337408571268586
1437,30998,2016,excellent,66337.0,clean,automatic,truck,0.4497336172083875
1438,23998,2016,excellent,36039.0,clean,automatic,sedan,0.0962771426369351
1441,15998,2014,excellent,23790.0,clean,automatic,truck,1.071379678635844
